"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI Testing","Direct Home Page Navigation - Native Selenide","User can interact with booking button using direct steps","1","0","0","0","0"
"UI Testing","Home Page Navigation","User can navigate and interact with home page","0","0","1","0","0"
"UI Testing","Home Page Navigation","User can view available rooms","0","0","1","0","0"
"UI Testing","Booking System Navigation","User can browse and interact with booking system","0","0","1","0","0"
"UI Testing","Direct Home Page Navigation - Native Selenide","User can view available rooms using direct steps","0","0","1","0","0"
"UI Testing","Direct Home Page Navigation - Native Selenide","User can navigate and interact with home page using direct steps","0","0","1","0","0"
"Simple UI Testing","Basic Navigation","Browser opens and navigates correctly","1","0","0","0","0"
"API Testing","Posts Management API","API CRUD operations work correctly","0","0","1","0","0"
"API Testing","Posts Management API","API endpoints work correctly","0","0","1","0","0"
"UI Testing","Booking System Navigation","Invalid login attempts are handled correctly","1","0","0","0","0"
